Primary_Row,Lat,Lng,North_Bound,South_Bound,East_Bound,West_Bound,y,x,Coord,Center_Pop,market_id,Market_Dealers_Total,Market_Units_Total,Dealers_to_CenterPop_Ratio,Units_to_CenterPop_Ratio,Units_per_Dealer_Avg
NO,47.79985475058096,-83.54697948969685,49.9705861079062,45.628298553946806,-80.32643873021709,-86.76752024917661,58,0,"(47.799854750580955, -83.54697948969685)",54008.0,58_0_no,5,5.0,9.257887720337727e-05,9.257887720337727e-05,1.0
NO,47.9815180034853,-89.99928412699644,50.15218068243386,45.81003104949203,-86.76748449116131,-93.23108376283156,59,0,"(47.9815180034853, -89.99928412699644)",459509.0,59_0_no,39,39.0,8.487320161302608e-05,8.487320161302608e-05,1.0
NO,48.164339131000695,-96.4742903357333,50.33493275735748,45.99292183085187,-93.2310471631142,-99.7175335083524,60,0,"(48.164339131000695, -96.4742903357333)",771591.0,60_0_no,67,67.0,8.68335685615825e-05,8.68335685615825e-05,1.0
NO,48.34833381002469,-102.97237201338535,50.51885800770813,46.17698657745368,-99.71749603865749,-106.22724798811322,61,0,"(48.34833381002469, -102.97237201338535)",366994.0,61_0_no,21,21.0,5.72216439505823e-05,5.72216439505823e-05,1.0
NO,48.533518093562215,-109.49391242618545,50.70397248461972,46.36224134485136,-106.22720961892072,-112.76061523345014,62,0,"(48.533518093562215, -109.49391242618543)",166125.0,62_0_no,14,14.0,8.427389014296464e-05,8.427389014296464e-05,1.0
NO,48.71990842369544,-116.03930453668208,50.89029262829892,46.54870257769548,-112.76057593392756,-119.3180331394366,63,0,"(48.719908423695436, -116.03930453668208)",1115163.0,63_0_no,49,49.0,4.393976485948691e-05,4.393976485948691e-05,1.0
NO,48.90752164513636,-122.60895134612532,51.07783528157804,46.73638712328616,-119.31799287736658,-125.89990981488404,64,0,"(48.90752164513636, -122.60895134612531)",5297907.0,64_0_no,125,125.0,2.3594223152652547e-05,2.3594223152652547e-05,1.0
YES,24.31817689535037,-82.07891512107354,26.49730315314533,22.138425436278883,-79.70080673464105,-84.45702350750602,3,0,"(24.31817689535037, -82.07891512107354)",1698391.0,3_0_yes,118,118.0,6.947752313807598e-05,6.947752313807598e-05,1.0
YES,24.54308824088843,-96.36016357281736,26.722147650978854,22.3633993519234,-93.97783925684426,-98.74248788879044,6,0,"(24.54308824088843, -96.36016357281736)",523781.0,6_0_yes,22,22.0,4.200228721545837e-05,4.200228721545837e-05,1.0
YES,24.618579735517525,-101.12623636565506,26.797616613489364,22.43891195169335,-98.7424854073615,-103.50998732394862,7,0,"(24.618579735517525, -101.12623636565506)",0.0,7_0_yes,0,0.0,0.0,0.0,0.0
YES,28.53638794016176,-80.43530157509402,30.714194249877547,26.35788297969358,-77.96910834918857,-82.90149480099946,15,0,"(28.536387940161756, -80.43530157509402)",12618839.0,15_0_yes,388,388.0,3.074767813425625e-05,3.074767813425625e-05,1.0
